Sno,date,T_max
1,01-01-1980,20
2,02-01-1980,NA
3,03-01-1980,NA
4,04-01-1980,NA
5,05-01-1980,NA
6,06-01-1980,28
7,07-01-1980,20
8,08-01-1980,NA
9,09-01-1980,NA
10,10-01-1980,NA
11,11-01-1980,NA
12,12-01-1980,NA
13,13-01-1980,23
14,14-01-1980,NA
15,15-01-1980,NA
16,16-01-1980,NA
17,17-01-1980,NA
18,18-01-1980,NA
19,19-01-1980,24
20,20-01-1980,NA
21,21-01-1980,NA
22,22-01-1980,NA
23,23-01-1980,32
24,24-01-1980,31
25,25-01-1980,27
26,26-01-1980,NA
27,27-01-1980,NA
28,28-01-1980,NA
29,29-01-1980,NA
30,30-01-1980,29
31,31-01-1980,25
32,01-02-1980,NA
33,02-02-1980,NA
34,03-02-1980,NA
35,04-02-1980,NA
36,05-02-1980,NA
37,06-02-1980,28
38,07-02-1980,20
39,08-02-1980,NA
40,09-02-1980,NA
41,10-02-1980,NA
42,11-02-1980,NA
43,12-02-1980,NA
44,13-02-1980,NA
45,14-02-1980,9
46,15-02-1980,31
47,16-02-1980,NA
48,17-02-1980,33
49,18-02-1980,NA
50,19-02-1980,NA
51,20-02-1980,NA
52,21-02-1980,NA
53,22-02-1980,32
54,23-02-1980,35
55,24-02-1980,30
56,25-02-1980,NA
57,26-02-1980,NA
58,27-02-1980,NA
59,28-02-1980,NA
60,29-02-1980,29
61,01-03-1980,29
62,02-03-1980,21
63,03-03-1980,NA
64,04-03-1980,NA
65,05-03-1980,NA
66,06-03-1980,NA
67,07-03-1980,NA
68,08-03-1980,NA
69,09-03-1980,17
70,10-03-1980,NA
71,11-03-1980,NA
72,12-03-1980,NA
73,13-03-1980,31
74,14-03-1980,29
75,15-03-1980,NA
76,16-03-1980,NA
77,17-03-1980,36
78,18-03-1980,38
79,19-03-1980,34
80,20-03-1980,NA
81,21-03-1980,NA
82,22-03-1980,NA
83,23-03-1980,NA
84,24-03-1980,38
85,25-03-1980,40
86,26-03-1980,NA
87,27-03-1980,NA
88,28-03-1980,NA
89,29-03-1980,NA
90,30-03-1980,NA
91,31-03-1980,40
92,01-04-1980,37
93,02-04-1980,26
94,03-04-1980,NA
95,04-04-1980,NA
96,05-04-1980,NA
97,06-04-1980,NA
98,07-04-1980,NA
99,08-04-1980,NA
100,09-04-1980,33
101,10-04-1980,38
102,11-04-1980,36
103,12-04-1980,41
104,13-04-1980,27
105,14-04-1980,NA
106,15-04-1980,NA
107,16-04-1980,NA
108,17-04-1980,42
109,18-04-1980,43
110,19-04-1980,NA
111,20-04-1980,NA
112,21-04-1980,NA
113,22-04-1980,NA
114,23-04-1980,NA
115,24-04-1980,41
116,25-04-1980,42
117,26-04-1980,NA
118,27-04-1980,NA
119,28-04-1980,NA
120,29-04-1980,NA
121,30-04-1980,NA
122,01-05-1980,42
123,02-05-1980,26
124,03-05-1980,NA
125,04-05-1980,NA
126,05-05-1980,NA
127,06-05-1980,NA
128,07-05-1980,31
129,08-05-1980,NA
130,09-05-1980,NA
131,10-05-1980,27
132,11-05-1980,36
133,12-05-1980,36
134,13-05-1980,28
135,14-05-1980,NA
136,15-05-1980,NA
137,16-05-1980,NA
138,17-05-1980,29
139,18-05-1980,37
140,19-05-1980,34
141,20-05-1980,NA
142,21-05-1980,NA
143,22-05-1980,NA
144,23-05-1980,NA
145,24-05-1980,36
146,25-05-1980,45
147,26-05-1980,32
148,27-05-1980,NA
149,28-05-1980,NA
150,29-05-1980,NA
151,30-05-1980,NA
152,31-05-1980,NA
153,01-06-1980,NA
154,02-06-1980,NA
155,03-06-1980,37
156,04-06-1980,NA
157,05-06-1980,32
158,06-06-1980,32
159,07-06-1980,NA
160,08-06-1980,NA
161,09-06-1980,28
162,10-06-1980,33
163,11-06-1980,29
164,12-06-1980,31
165,13-06-1980,NA
166,14-06-1980,NA
167,15-06-1980,NA
168,16-06-1980,NA
169,17-06-1980,32
170,18-06-1980,34
171,19-06-1980,NA
172,20-06-1980,NA
173,21-06-1980,NA
174,22-06-1980,NA
175,23-06-1980,NA
176,24-06-1980,35
177,25-06-1980,34
178,26-06-1980,29
179,27-06-1980,NA
180,28-06-1980,NA
181,29-06-1980,NA
182,30-06-1980,32
183,01-07-1980,NA
184,02-07-1980,NA
185,03-07-1980,28
186,04-07-1980,32
187,05-07-1980,29
188,06-07-1980,32
189,07-07-1980,NA
190,08-07-1980,NA
191,09-07-1980,NA
192,10-07-1980,NA
193,11-07-1980,30
194,12-07-1980,29
195,13-07-1980,NA
196,14-07-1980,NA
197,15-07-1980,30
198,16-07-1980,NA
199,17-07-1980,NA
200,18-07-1980,34
201,19-07-1980,32
202,20-07-1980,NA
203,21-07-1980,NA
204,22-07-1980,NA
205,23-07-1980,NA
206,24-07-1980,NA
207,25-07-1980,NA
208,26-07-1980,30
209,27-07-1980,34
210,28-07-1980,NA
211,29-07-1980,NA
212,30-07-1980,NA
213,31-07-1980,34
214,01-08-1980,NA
215,02-08-1980,NA
216,03-08-1980,28
217,04-08-1980,33
218,05-08-1980,33
219,06-08-1980,NA
220,07-08-1980,NA
221,08-08-1980,NA
222,09-08-1980,NA
223,10-08-1980,31
224,11-08-1980,35
225,12-08-1980,31
226,13-08-1980,NA
227,14-08-1980,NA
228,15-08-1980,NA
229,16-08-1980,NA
230,17-08-1980,35
231,18-08-1980,38
232,19-08-1980,25
233,20-08-1980,NA
234,21-08-1980,NA
235,22-08-1980,NA
236,23-08-1980,31
237,24-08-1980,31
238,25-08-1980,NA
239,26-08-1980,NA
240,27-08-1980,33
241,28-08-1980,33
242,29-08-1980,32
243,30-08-1980,NA
244,31-08-1980,NA
245,01-09-1980,NA
246,02-09-1980,NA
247,03-09-1980,37
248,04-09-1980,33
249,05-09-1980,NA
250,06-09-1980,NA
251,07-09-1980,NA
252,08-09-1980,NA
